crossing time (s)	slope (V/s)	crossing number
3259.260731	-52.950147	3965
3260.229777	-56.008356	3966
3260.809230	-1.028415	3967
3261.292456	-67.395518	3968
3262.297685	-63.130746	3969
3263.386708	-53.533988	3970
3264.425984	-54.926106	3971
3265.435756	-50.345211	3972
3266.438120	-53.298600	3973
3267.005484	1.421402	3974
3267.513076	-61.769631	3975
3268.551107	-58.554471	3976
3269.579508	-46.892092	3977
3270.607415	-49.506767	3978
3271.627037	-49.006613	3979
3272.626178	-50.412840	3980
3273.773680	-49.260719	3981
3274.724877	-46.032393	3982
3275.763306	-48.153269	3983
3276.810606	-44.202523	3984
3277.825778	-41.278638	3985
3278.832570	-39.713990	3986
3279.905554	-44.705746	3987
3280.884617	-43.819651	3988
3281.958581	-39.251265	3989
3283.026173	-41.379103	3990
3284.030882	-40.873501	3991
3284.513166	4.541320	3992
3285.020686	-39.063990	3993
3286.066516	-43.400162	3994
3287.044270	-39.830798	3995
3288.149778	-37.044280	3996
3289.176879	-35.275749	3997
3290.235043	-35.148219	3998
3291.220080	-33.409572	3999
3292.309514	-34.511011	4000
3292.787236	5.329744	4001
3293.249747	-33.542945	4002
3294.427109	-39.457241	4003
3295.313137	-33.252965	4004
3296.451419	-34.123080	4005
3297.398419	-32.209612	4006
3298.499662	-30.506814	4007
3299.458083	-29.918576	4008
3300.553194	-30.931720	4009
3301.517741	-28.750474	4010
3302.655208	-32.543207	4011
3303.585388	-29.511345	4012
3304.674512	-30.691707	4013
3305.684162	-25.592070	4014
3306.715535	-25.237286	4015
3307.744647	-25.244611	4016
3308.827101	-24.165385	4017
3309.801225	-25.706248	4018
3310.867362	-27.824333	4019
3311.855299	-24.067949	4020
3312.941017	-23.272427	4021
3313.905597	-23.946330	4022
3314.971115	-23.852852	4023
3315.987627	-20.421230	4024
3317.050659	-21.734550	4025
3318.054390	-22.109322	4026
3319.151141	-24.386541	4027
3320.137656	-19.227134	4028
3321.198096	-22.452919	4029
3322.194905	-20.647934	4030
3323.235033	-20.202318	4031
3324.225168	-17.834673	4032
3325.305068	-19.491867	4033
3326.336179	-16.486601	4034
3327.391611	-20.506210	4035
3328.404670	-21.480271	4036
3329.438423	-17.309186	4037
3330.443293	-16.488294	4038
3331.520082	-16.380394	4039
3332.484262	-17.929080	4040
3333.584443	-18.045021	4041
3334.569178	-14.335059	4042
3335.649415	-15.147986	4043
3336.662981	-15.526274	4044
3337.731367	-16.297327	4045
3338.704445	-15.009969	4046
3339.788978	-13.571859	4047
3340.760760	-16.322725	4048
3341.835011	-13.747471	4049
3342.832797	-15.049548	4050
3343.893287	-13.847058	4051
3344.848191	-13.825109	4052
3345.952954	-11.709570	4053
3346.962628	-11.910611	4054
3348.031757	-13.388063	4055
3349.044119	-11.279292	4056
3350.064168	-12.650371	4057
3351.060736	-13.280435	4058
3351.592816	7.068052	4059
3352.144685	-11.740207	4060
3353.133676	-13.831655	4061
3354.208521	-14.645911	4062
3355.218122	-11.022026	4063
3356.248179	-10.116046	4064
3357.269803	-10.503790	4065
3358.352830	-10.547907	4066
3359.333704	-11.385665	4067
3360.385124	-10.662991	4068
3361.393528	-8.896159	4069
3362.458390	-8.224276	4070
3363.440914	-9.049675	4071
3364.568754	-8.985290	4072
3365.541128	-12.811134	4073
3366.620742	-9.003249	4074
3367.586063	-8.718223	4075
3368.682053	-9.365615	4076
3369.631254	-8.599605	4077
3370.713426	-8.501659	4078
3371.679556	-7.748589	4079
3372.798149	-8.197458	4080
3373.738110	-6.725685	4081
3374.856221	-6.677870	4082
3375.804527	-8.926476	4083
3376.929115	-7.124657	4084
3377.863940	-8.973400	4085
3379.009187	-6.374750	4086
3379.937528	-7.664657	4087
3381.093080	-9.119631	4088
3381.996988	-6.225027	4089
3383.129481	-6.391194	4090
3384.038713	-6.305006	4091
3385.210529	-7.791766	4092
3386.137686	-8.445301	4093
3387.271014	-5.105027	4094
3388.222598	-6.083628	4095
3389.307603	-6.876834	4096
3390.236327	-6.340336	4097
3391.398516	-4.745961	4098
3392.303630	-4.921412	4099
3393.421788	-4.001324	4100
3393.944539	4.550530	4101
