time (s)	magX	magY	magZ
4960.525922	261.713623	-134.826416	117.371124
4960.529635	262.356506	-135.060211	118.481598
4960.533186	262.648743	-136.229095	120.059616
4960.536520	262.882507	-136.696655	121.462311
4960.539847	263.525421	-138.040924	121.579193
4960.543182	264.168335	-138.450012	123.040329
4960.546516	264.752777	-139.443604	123.800110
4960.549849	265.278809	-139.911163	125.202805
4960.553183	265.804810	-140.320282	126.079483
4960.556547	266.330811	-140.963196	127.599060
4960.559843	267.382812	-141.722961	128.066635
4960.563179	267.558167	-142.365875	128.592636
4960.566514	269.136169	-142.716522	130.755112
4960.569842	270.246643	-143.242554	132.625366
4960.573176	270.188171	-144.060791	133.677383
4960.576513	271.181763	-143.943878	133.969604
4960.580301	272.292236	-145.229706	134.787842
4960.583601	273.694946	-145.229706	136.424316
4960.586939	274.805359	-145.697266	138.060776
4960.590263	275.156067	-146.573944	138.236130
4960.593616	276.324951	-146.632385	140.398590
4960.596940	277.376953	-147.392151	141.392166
4960.600293	278.370544	-147.742828	143.496201
4960.603599	279.890106	-148.853302	144.840454
4960.606957	280.357666	-149.320862	146.476913
4960.610278	281.526611	-149.963776	148.347168
4960.613612	282.695496	-151.424896	150.626541
4960.617359	284.098206	-152.009369	152.496780
4960.620700	285.676208	-153.295135	155.126831
4960.624032	286.669800	-154.171844	157.113968
4960.627383	287.546448	-155.516083	159.919342
4960.630707	288.890686	-156.860321	162.140274
4960.634135	290.351868	-158.204559	165.062546
4960.637415	292.105194	-159.373474	168.218582
4960.640744	293.332550	-161.243713	171.082413
4960.644035	295.144348	-162.646423	174.472244
4960.647352	296.488586	-163.873749	177.862061
4960.651181	298.651062	-165.101105	181.602585
4960.654520	300.755127	-167.322052	185.459961
4960.657838	302.099365	-169.659851	189.258911
4960.661196	303.502014	-171.296326	193.700745
4960.664498	306.015198	-172.465240	197.908813
4960.667840	307.593201	-174.218567	202.701340
4960.671218	309.989502	-176.497955	206.558731
4960.674515	311.275269	-177.959106	210.591461
4960.677847	312.619507	-179.537109	214.974869
4960.681169	314.781982	-181.465790	219.358261
4960.684458	316.886047	-183.043823	224.501450
4960.687829	318.814758	-184.855652	227.540619
4960.691208	320.743408	-185.849213	233.209808
4960.694951	322.964355	-187.602570	238.469879
4960.698247	325.185303	-189.881927	243.087097
4960.701567	327.289307	-190.583282	247.353577
4960.704904	329.159546	-192.044403	252.847473
4960.708203	332.081848	-193.447113	257.523102
4960.711466	333.893616	-195.492706	262.198730
4960.715207	336.523682	-196.603180	268.452362
4960.718495	338.569275	-198.356506	272.835754
4960.721867	340.848633	-198.999420	278.563416
4960.725119	343.303345	-201.103455	283.589691
4960.728393	344.647583	-202.155457	288.966675
4960.731705	348.212769	-204.376404	295.687897
4960.735434	349.498535	-205.369965	302.175323
4960.738743	352.420837	-206.714203	308.487457
4960.742012	353.881958	-208.350677	315.091766
4960.745308	356.395081	-210.337830	321.929871
4960.748600	359.142029	-211.623596	328.826416
4960.752336	360.369385	-213.786102	336.307404
4960.755658	362.064270	-215.364105	344.197540
4960.758917	364.051453	-217.292816	352.321442
4960.762208	365.804810	-219.338409	360.562225
4960.765477	368.493286	-220.974854	368.686157
4960.769196	369.895935	-223.195801	377.803619
4960.772497	371.532471	-225.942719	387.505554
4960.775806	372.467590	-228.397430	396.681488
4960.779073	374.337830	-230.092346	406.441864
4960.782354	376.617187	-233.014618	417.371124
4960.786038	377.493835	-235.352448	427.599091
4960.789397	378.896545	-237.807159	438.236115
4960.793158	379.773254	-240.495636	449.165436
4960.796488	380.825256	-242.132080	461.029785
4960.799823	381.877258	-245.054352	472.952698
4960.803155	382.461731	-247.567505	484.758606
4960.806483	383.104614	-249.496216	496.213867
4960.809823	384.331970	-251.191132	507.727661
4960.813153	383.864380	-252.944489	521.637634
4960.816523	384.974854	-255.223877	534.320312
4960.819818	386.202209	-256.743439	545.892456
4960.823165	385.325500	-258.263000	559.510193
4960.826488	385.325500	-260.425476	571.199280
4960.829817	386.202209	-262.003510	585.050842
4960.833157	385.734680	-262.120392	597.149048
4960.836484	385.383972	-263.406189	610.182373
4960.839822	384.916443	-263.698425	623.741638
4960.843149	385.033325	-264.808899	636.716553
4960.846488	383.981323	-265.802460	649.866760
4960.849815	383.104614	-265.451782	662.958496
4960.853586	382.461731	-266.445374	676.459412
4960.856926	380.942139	-266.503815	689.375793
4960.860290	379.364136	-266.912933	702.584412
4960.863622	377.610779	-266.854462	715.442444
4960.866915	376.734070	-266.620697	729.820007
4960.870243	374.630066	-266.503815	743.320862
4960.873570	372.058472	-266.737610	758.049072
4960.876905	369.253052	-266.386902	772.017578
4960.880244	366.389282	-266.211578	785.752258
4960.883590	362.298035	-265.685577	799.895996
4960.886921	359.492676	-264.925781	815.208679
4960.890263	353.765015	-265.218018	829.177124
4960.894117	348.972534	-264.691986	843.729980
4960.897351	343.303345	-264.399780	859.802490
4960.900662	338.160156	-263.347748	874.413818
4960.904031	331.731140	-263.172424	890.018677
4960.907342	325.009949	-262.412628	904.630005
4960.910696	317.762695	-261.185272	919.416748
4960.914063	309.872559	-260.367065	935.138550
4960.917397	302.450043	-259.373474	950.158997
4960.920723	294.384583	-257.737000	965.763855
4960.924418	285.383972	-255.925201	979.907654
4960.927802	276.558716	-253.996521	994.226746
4960.931187	267.558167	-251.132660	1008.136780
4960.934492	257.388672	-249.028656	1021.637634
4960.937881	247.394516	-245.989471	1034.612549
4960.941149	236.640564	-242.716553	1047.295166
4960.944469	225.945053	-239.209839	1057.406250
4960.947797	214.723557	-235.644653	1070.848633
4960.951156	204.028046	-231.378143	1081.777832
4960.954496	192.280533	-227.053162	1092.999512
4960.957834	180.825241	-222.611328	1102.584473
4960.961527	169.486847	-217.468140	1111.935791
4960.964827	158.616013	-212.792511	1121.170166
4960.968123	146.810059	-206.772644	1130.112305
4960.971405	135.588531	-201.571014	1137.067139
4960.974720	124.074806	-195.492706	1144.255859
4960.978434	112.677963	-189.355927	1150.801758
4960.981821	100.170654	-182.926941	1156.003418
4960.985090	88.481590	-176.907074	1161.555908
4960.988413	76.792519	-170.068970	1166.114502
4960.991687	64.694328	-163.055511	1170.381104
4960.994961	51.719460	-155.866730	1172.192871
4960.998252	39.504383	-149.320862	1175.816406
4961.002015	27.464640	-142.132080	1177.452881
4961.005283	15.132671	-134.884857	1179.323242
4961.008579	2.157803	-127.812981	1180.141357
4961.011852	-10.232613	-120.974876	1179.498535
4961.015586	-22.798363	-113.961433	1180.199951
4961.018905	-36.182350	-106.772652	1177.979004
4961.022187	-49.507889	-99.642311	1175.933350
4961.025463	-63.184105	-92.336639	1174.998291
4961.028741	-76.334305	-85.089417	1171.900635
4961.032044	-89.426056	-78.134430	1168.861572
4961.035804	-102.751602	-71.179428	1165.646973
4961.039073	-116.369370	-64.224434	1160.445312
4961.042353	-130.513153	-56.801872	1155.068359
4961.045624	-144.072464	-49.145531	1149.399170
4961.048915	-156.988907	-43.125656	1142.151855
4961.052660	-170.606659	-35.878437	1135.080078
4961.055961	-183.464645	-28.514317	1126.547119
4961.059223	-195.095276	-21.617767	1119.182861
4961.062509	-207.661011	-14.779659	1109.422607
4961.065808	-219.992996	-7.181765	1099.837402
4961.069542	-231.740494	-0.109877	1090.369385
4961.073130	-242.435989	6.845119	1079.498535
4961.076457	-254.008194	13.858562	1068.686035
4961.079798	-264.060791	20.638222	1058.166016
