time (s)	det(V)
5154.376388	-1.012307	
5154.377925	-0.810456	
5154.379622	-0.961441	
5154.381177	-0.722755	
5154.382841	-0.943543	
5154.384427	-0.765222	
5154.386100	-0.966851	
5154.387674	-0.750341	
5154.389314	-0.925774	
5154.390895	-0.740033	
5154.392522	-0.912630	
5154.394134	-0.707206	
5154.395732	-0.837707	
5154.397404	-0.688804	
5154.398994	-0.824019	
5154.400659	-0.668312	
5154.402229	-0.812377	
5154.403890	-0.736322	
5154.405445	-0.740629	
5154.407134	-0.723331	
5154.408668	-0.738316	
5154.410396	-0.723750	
5154.411919	-0.652151	
5154.413638	-0.678146	
5154.415123	-0.659176	
5154.416895	-0.667994	
5154.418383	-0.637230	
5154.420154	-0.711560	
5154.421642	-0.645536	
5154.423417	-0.709478	
5154.424895	-0.618019	
5154.426653	-0.683894	
5154.428146	-0.529915	
5154.429890	-0.680728	
5154.431400	-0.546101	
5154.433123	-0.659535	
5154.434655	-0.516320	
5154.436362	-0.672200	
5154.437903	-0.520191	
5154.439595	-0.657226	
5154.441149	-0.488996	
5154.442819	-0.639345	
5154.444378	-0.466429	
5154.446019	-0.590445	
5154.447604	-0.446739	
5154.449236	-0.578082	
5154.450868	-0.387784	
5154.452403	-0.501991	
5154.454055	-0.448422	
5154.455532	-0.437123	
5154.457247	-0.389549	
5154.458729	-0.443464	
5154.460447	-0.395144	
5154.461932	-0.280172	
5154.463636	-0.440080	
5154.465124	-0.370483	
5154.466825	-0.385520	
5154.468310	-0.301800	
5154.469991	-0.424559	
5154.471477	-0.302774	
5154.473128	-0.395881	
5154.474652	-0.180571	
5154.476280	-0.364686	
5154.477845	-0.202284	
5154.479432	-0.324906	
5154.481037	-0.185728	
5154.482592	-0.277050	
5154.484206	-0.201176	
5154.485729	-0.184257	
5154.487362	-0.209660	
5154.488842	-0.137259	
5154.490461	-0.214534	
5154.491942	-0.145912	
5154.493584	-0.180201	
5154.495079	-0.074075	
5154.496703	-0.156563	
5154.498206	-0.081241	
5154.499798	-0.107192	
5154.501331	-0.069982	
5154.502886	-0.234297	
5154.504479	-0.115671	
5154.505977	-0.118181	
5154.507635	-0.065164	
5154.509125	-0.149469	
5154.510770	-0.019358	
5154.512277	-0.003035	
5154.513911	-0.103852	
5154.515395	0.019008	
5154.517022	-0.162291	
5154.518516	-0.083513	
5154.520083	-0.157598	
5154.521587	-0.081869	
5154.523081	-0.061961	
5154.524656	-0.026335	
5154.526181	-0.112336	
5154.527770	-0.012546	
5154.529274	-0.058324	
5154.530833	-0.069076	
5154.532352	-0.041324	
5154.533913	0.013614	
5154.535420	-0.010161	
5154.536953	-0.059170	
5154.538470	-0.034090	
5154.539993	-0.078953	
5154.541525	-0.088109	
5154.543015	-0.082631	
5154.544568	-0.049139	
5154.546076	-0.056676	
5154.547660	-0.107985	
5154.549152	-0.042585	
5154.550730	-0.089592	
5154.552205	-0.089153	
5154.553773	-0.159765	
5154.555267	-0.073245	
5154.556811	-0.085245	
5154.558310	-0.094953	
5154.559822	-0.109423	
5154.561411	-0.033530	
5154.562898	-0.037699	
5154.564450	-0.112461	
5154.565963	-0.033493	
5154.567524	-0.045494	
5154.569037	-0.004320	
5154.570565	-0.044003	
5154.572119	-0.064673	
5154.573633	-0.001762	
5154.575188	-0.081906	
5154.576685	-0.091135	
5154.578267	-0.043081	
5154.579767	-0.055633	
5154.581306	-0.059520	
5154.582850	0.024136	
5154.584390	0.008167	
5154.585929	-0.049039	
5154.587448	-0.040172	
5154.589007	-0.045023	
5154.590535	-0.031822	
5154.592098	-0.054505	
5154.593591	0.006653	
5154.595160	0.060197	
5154.596671	0.010484	
5154.598219	0.002633	
5154.599738	0.061889	
5154.601275	0.038364	
5154.602813	0.023181	
5154.604329	-0.031113	
5154.605880	0.041961	
5154.607392	0.008071	
5154.608965	0.007821	
5154.610454	0.101959	
5154.612050	0.098712	
5154.613545	0.098768	
5154.615106	0.111325	
5154.616626	0.185124	
5154.618199	0.148132	
5154.619716	0.104988	
5154.621232	0.081813	
5154.622796	0.204286	
5154.624311	0.139801	
5154.625883	0.155475	
5154.627366	0.228802	
5154.628955	0.224102	
5154.630440	0.191456	
5154.632032	0.216178	
5154.633515	0.249822	
5154.635068	0.221475	
5154.636598	0.179013	
5154.638135	0.227751	
5154.639680	0.248497	
5154.641193	0.249855	
5154.642756	0.201084	
5154.644249	0.245939	
