time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6931.390439	326.747986	-0.874543	0.007392	201
6933.453693	326.833282	-0.863117	0.007139	203
6935.523828	326.910217	-0.851604	0.006605	205
6937.588382	326.975525	-0.843448	0.006325	207
6939.654274	327.044098	-0.831732	0.005803	209
6941.721478	326.984375	-0.823856	0.005829	211
6943.787166	326.890350	-0.816197	0.005389	213
6945.850901	326.645874	-0.806849	0.005640	215
6947.913792	326.470764	-0.797075	0.004917	217
6949.972919	326.324402	-0.786132	0.004568	219
6952.036173	326.262756	-0.774162	0.003946	221
6954.100090	326.268524	-0.762989	0.003647	223
6956.163571	326.317535	-0.752275	0.003207	225
6958.227376	326.399597	-0.742096	0.002833	227
6960.289412	326.444550	-0.732961	0.002653	229
6962.357378	326.472656	-0.723324	0.002280	231
6964.422858	326.532043	-0.715173	0.001954	233
6966.486890	326.553497	-0.705570	0.001823	235
6968.550832	326.593842	-0.697068	0.001417	237
6970.618733	326.639923	-0.688276	0.001268	239
6972.682453	326.702087	-0.679987	0.000743	241
6974.749399	326.771545	-0.670524	0.000551	243
6976.814476	326.833344	-0.663007	0.000169	245
6978.876861	326.821289	-0.654658	-0.000043	247
6980.945694	326.800018	-0.645408	-0.000183	249
6983.010676	326.702484	-0.636946	-0.000281	251
6985.077296	326.550446	-0.628770	-0.000229	253
6987.147595	326.397217	-0.620858	-0.000776	255
6989.217774	326.243805	-0.612313	-0.001010	1
6991.288093	326.168854	-0.604871	-0.001182	3
6993.353782	326.134918	-0.596795	-0.001610	5
6995.424857	326.170410	-0.588075	-0.001743	7
6997.490647	326.244598	-0.580388	-0.002098	9
6999.555895	326.383270	-0.572447	-0.002218	11
7001.622869	326.461853	-0.563621	-0.002617	13
7003.686207	326.543030	-0.555686	-0.002899	15
7005.747818	326.622833	-0.547848	-0.003124	17
7007.816097	326.674744	-0.539717	-0.003288	19
7009.881978	326.706146	-0.531140	-0.003484	21
7011.947225	326.735077	-0.523302	-0.003581	23
7014.011058	326.786377	-0.515836	-0.003662	25
