crossing time (s)	slope (V/s)	crossing number
8148.826181	-87.167189	6210
8149.906472	-97.284940	6211
8150.954081	-94.065428	6212
8151.992102	-82.227913	6213
8153.002245	-72.025414	6214
8154.029888	-81.606238	6215
8155.112296	-79.514033	6216
8156.137054	-77.320500	6217
8157.183684	-78.957511	6218
8158.204540	-70.238625	6219
8159.221039	-65.921270	6220
8160.324674	-69.499664	6221
8161.294124	-73.629097	6222
8162.367133	-66.584637	6223
8163.458327	-65.733161	6224
8164.485394	-59.350947	6225
8165.486910	-59.200399	6226
8166.544539	-62.680064	6227
8167.611957	-58.035449	6228
8168.639791	-53.917304	6229
8169.688203	-54.896392	6230
8170.719675	-52.073648	6231
8171.759346	-56.637573	6232
8172.835928	-51.807822	6233
8173.866838	-47.728792	6234
8174.912295	-46.600322	6235
8175.962884	-46.315000	6236
8176.984567	-47.315633	6237
8178.034527	-46.190584	6238
8179.070314	-42.972392	6239
8180.116258	-41.400711	6240
8181.157851	-40.292841	6241
8182.209586	-39.855011	6242
8183.218325	-40.198214	6243
8184.280604	-38.847213	6244
8185.340648	-36.777998	6245
8186.343109	-35.347904	6246
8187.398489	-36.409778	6247
8188.433340	-35.795107	6248
8189.480873	-34.905678	6249
8190.553135	-33.083068	6250
8191.549234	-31.910456	6251
8192.616978	-28.797094	6252
8193.638317	-30.302889	6253
8194.688737	-28.116664	6254
8195.720025	-28.645985	6255
8196.802469	-28.276100	6256
8197.791378	-29.217655	6257
8198.886692	-26.769996	6258
8199.912148	-25.712313	6259
8200.962483	-23.364285	6260
8201.987256	-24.278051	6261
8203.037084	-23.041024	6262
8204.071274	-21.370422	6263
8205.112954	-21.960582	6264
8206.141650	-21.514811	6265
8207.187673	-20.007226	6266
8208.224558	-21.230139	6267
8209.241900	-19.667773	6268
8210.339561	-20.735468	6269
8211.374199	-17.883341	6270
8212.397038	-18.301680	6271
8213.442380	-19.533124	6272
8214.508622	-18.259472	6273
8215.523248	-15.844398	6274
8216.585298	-15.786342	6275
8217.655681	-17.480271	6276
8218.667732	-16.558721	6277
8219.702104	-15.333969	6278
8220.759555	-12.824545	6279
8221.795565	-13.642726	6280
8222.799254	-13.571760	6281
8223.854454	-13.084254	6282
8224.968194	-12.774896	6283
8225.940346	-10.517406	6284
8226.983345	-12.255885	6285
8228.030402	-13.342482	6286
8229.104785	-14.297537	6287
8230.112387	-12.175218	6288
8231.174131	-9.417667	6289
8232.207848	-11.214958	6290
8233.277795	-8.785749	6291
8234.270460	-9.582565	6292
8235.334008	-7.431535	6293
8236.343377	-9.142785	6294
8237.436270	-10.721113	6295
8238.443841	-9.477327	6296
