time (s)	det(V)
4337.454734	0.060126	
4337.456211	0.184653	
4337.457903	0.044238	
4337.459407	0.157784	
4337.461089	0.072525	
4337.462622	0.193906	
4337.464236	0.119415	
4337.465814	0.187421	
4337.467424	0.091607	
4337.468994	0.250730	
4337.470570	0.149309	
4337.472169	0.206825	
4337.473710	0.145377	
4337.475366	0.225186	
4337.476857	0.173861	
4337.478576	0.228002	
4337.480048	0.230487	
4337.481782	0.208183	
4337.483254	0.284995	
4337.484892	0.220010	
4337.486366	0.300665	
4337.488006	0.217174	
4337.489488	0.372937	
4337.491078	0.303316	
4337.492634	0.359813	
4337.494168	0.308705	
4337.495764	0.331071	
4337.497250	0.348106	
4337.498902	0.354201	
4337.500401	0.374065	
4337.502052	0.400027	
4337.503536	0.388986	
4337.505178	0.422449	
4337.506648	0.428407	
4337.508284	0.395238	
4337.509770	0.440653	
4337.511401	0.426119	
4337.512905	0.523125	
4337.514496	0.467340	
4337.516031	0.519221	
4337.517583	0.482918	
4337.519175	0.573330	
4337.520670	0.496683	
4337.522330	0.573515	
4337.523819	0.581116	
4337.525450	0.612110	
4337.526973	0.656381	
4337.528558	0.636284	
4337.530063	0.665909	
4337.531615	0.649928	
4337.533122	0.707525	
4337.534671	0.730688	
4337.536197	0.771366	
4337.537687	0.783656	
4337.539271	0.801353	
4337.540789	0.779556	
4337.542380	0.826546	
4337.543865	0.856621	
4337.545429	0.875200	
4337.546945	0.980395	
4337.548552	0.918275	
4337.550051	1.005854	
4337.551589	0.970196	
4337.553115	1.051757	
4337.554658	1.095029	
4337.556230	1.061884	
4337.557717	1.093644	
4337.559289	1.125911	
4337.560809	1.174029	
4337.562395	1.213760	
4337.563891	1.278040	
4337.565427	1.278495	
4337.566972	1.311012	
4337.568487	1.382583	
4337.570067	1.449296	
4337.571556	1.408477	
4337.573150	1.468567	
4337.574656	1.518253	
4337.576269	1.526761	
4337.577759	1.526684	
4337.579346	1.526934	
4337.580846	1.526821	
4337.582413	1.526926	
4337.583935	1.526837	
4337.585501	1.527179	
4337.587026	1.526825	
4337.588555	1.527014	
4337.590118	1.526877	
4337.591637	1.526853	
4337.593227	1.526954	
4337.594730	1.526998	
4337.596305	1.526906	
4337.597816	1.526974	
4337.599360	1.527006	
4337.600903	1.527035	
4337.602462	1.527034	
4337.603997	1.527002	
4337.605537	1.526974	
4337.607088	1.526922	
4337.608618	1.527030	
4337.610192	1.526926	
4337.611687	1.527010	
4337.613268	1.526954	
4337.614791	1.527083	
4337.616391	1.526966	
4337.617885	1.527071	
4337.619403	1.527010	
4337.620990	1.526922	
4337.622499	1.527087	
4337.624066	1.526938	
4337.625572	1.526982	
4337.627174	1.526922	
4337.628675	1.527010	
4337.630275	1.526978	
4337.631775	1.526978	
4337.633368	1.526910	
4337.634868	1.526974	
4337.636443	1.527035	
4337.637972	1.526946	
4337.639521	1.527051	
4337.641065	1.527047	
4337.642585	1.526986	
4337.644153	1.526881	
4337.645677	1.526958	
4337.647263	1.526869	
4337.648745	1.526930	
4337.650441	1.527248	
4337.652062	1.527027	
4337.653663	1.527143	
4337.655344	1.526978	
4337.656950	1.527059	
4337.658591	1.527167	
4337.660185	1.527212	
4337.661847	1.527010	
4337.663420	1.527115	
4337.665130	1.526970	
4337.666674	1.527179	
4337.668387	1.527131	
4337.669928	1.527107	
4337.671659	1.526966	
4337.673191	1.527059	
4337.674914	1.527059	
4337.676408	1.527091	
4337.678179	1.527010	
4337.679657	1.526970	
4337.681436	1.527095	
4337.682915	1.527059	
4337.684685	1.527240	
4337.686162	1.527051	
4337.687935	1.527059	
4337.689433	1.526950	
4337.691212	1.527039	
4337.692716	1.526974	
4337.694450	1.527163	
4337.695965	1.526922	
4337.697679	1.527107	
4337.699203	1.527051	
4337.700908	1.527204	
4337.702459	1.526994	
4337.704156	1.527228	
4337.705723	1.526954	
4337.707395	1.527228	
4337.708960	1.527095	
4337.710618	1.527188	
4337.712195	1.527002	
4337.713847	1.527204	
4337.715452	1.526958	
4337.716988	1.527059	
4337.718670	1.526978	
4337.720145	1.527038	
4337.721865	1.527103	
4337.723338	1.527272	
4337.725036	1.527006	
4337.726513	1.527087	
4337.728220	1.527059	
4337.729712	1.527171	
4337.731402	1.527103	
4337.732892	1.527014	
4337.734593	1.527111	
4337.736085	1.526898	
4337.737751	1.527103	
4337.739264	1.526954	
4337.740923	1.527313	
4337.742464	1.526841	
4337.744061	1.527184	
4337.745646	1.526986	
4337.747212	1.526962	
4337.748840	1.526970	
4337.750378	1.527047	
4337.752050	1.526966	
4337.753538	1.526910	
4337.755169	1.526978	
4337.756640	1.526918	
4337.758285	1.526893	
4337.759763	1.526966	
4337.761390	1.527014	
4337.762888	1.526902	
4337.764483	1.527127	
4337.766015	1.526865	
4337.767562	1.527099	
4337.769159	1.527002	
4337.770641	1.527038	
4337.772298	1.526946	
4337.773787	1.527026	
4337.775407	1.526857	
4337.776930	1.526970	
4337.778556	1.526942	
4337.780042	1.526902	
4337.781701	1.526938	
4337.783198	1.526934	
4337.784751	1.526849	
4337.786247	1.526861	
4337.787749	1.526845	
4337.789344	1.526829	
4337.790837	1.526032	
4337.792434	1.517701	
4337.793931	1.322049	
4337.795499	1.126015	
4337.797021	1.009705	
4337.798613	0.790452	
4337.800107	0.668893	
4337.801643	0.524442	
4337.803175	0.373251	
4337.804728	0.165333	
4337.806256	0.031827	
4337.807741	-0.126394	
4337.809305	-0.289581	
4337.810827	-0.437074	
4337.812412	-0.553907	
4337.813903	-0.725252	
4337.815478	-0.897954	
4337.816992	-1.036399	
4337.818577	-1.250259	
4337.820074	-1.312947	
4337.821620	-1.558357	
4337.823149	-1.646392	
4337.824688	-1.712674	
4337.826238	-1.725721	
4337.827721	-1.725774	
4337.829313	-1.725822	
4337.830839	-1.725850	
4337.832409	-1.725729	
4337.833931	-1.725915	
4337.835476	-1.725999	
4337.837028	-1.725862	
4337.838546	-1.725874	
4337.840092	-1.725862	
4337.841611	-1.725991	
4337.843207	-1.725907	
4337.844704	-1.725975	
4337.846276	-1.725830	
4337.847809	-1.725967	
4337.849410	-1.725899	
4337.850899	-1.725979	
4337.852467	-1.725931	
4337.853993	-1.726023	
4337.855564	-1.725899	
4337.857096	-1.725842	
4337.858629	-1.725971	
4337.860195	-1.725886	
4337.861714	-1.725882	
4337.863309	-1.725923	
4337.864811	-1.725983	
4337.866393	-1.725963	
4337.867900	-1.725866	
4337.869454	-1.725886	
4337.870986	-1.725882	
4337.872531	-1.725923	
4337.874052	-1.726015	
4337.875591	-1.725854	
4337.877141	-1.726015	
4337.878642	-1.725987	
4337.880232	-1.725983	
4337.881724	-1.725959	
4337.883297	-1.725955	
4337.884837	-1.726003	
4337.886446	-1.726011	
4337.887945	-1.726040	
4337.889505	-1.725987	
4337.891040	-1.725987	
4337.892584	-1.726040	
4337.894145	-1.725987	
4337.895634	-1.726124	
4337.897215	-1.725951	
4337.898737	-1.725971	
4337.900333	-1.726003	
4337.901827	-1.726060	
4337.903386	-1.725983	
4337.904915	-1.726060	
4337.906473	-1.725983	
4337.908019	-1.726096	
4337.909532	-1.725971	
4337.911112	-1.725955	
4337.912631	-1.725991	
4337.914216	-1.726072	
4337.915702	-1.726032	
4337.917320	-1.726044	
4337.918811	-1.726048	
4337.920403	-1.725979	
