crossing time (s)	slope (V/s)	crossing number
4754.747953	-107.276795	3751
4755.773875	-98.935200	3752
4756.847272	-99.931743	3753
4757.869207	-96.904161	3754
4758.911752	-85.435814	3755
4759.924545	-81.441507	3756
4761.035765	-78.196438	3757
4762.023130	-68.801079	3758
4763.088259	-73.802149	3759
4764.140858	-59.404193	3760
4765.174578	-61.362076	3761
4766.218070	-54.875255	3762
4767.287760	-56.938500	3763
4768.302361	-50.267171	3764
4769.373940	-45.194207	3765
4770.407039	-43.665515	3766
4771.462601	-40.102768	3767
4772.527034	-38.385827	3768
4773.533513	-37.202045	3769
4774.570336	-32.972893	3770
4775.626785	-31.830416	3771
4776.668964	-30.189256	3772
4777.680077	-27.081825	3773
4778.740386	-26.468514	3774
4779.800995	-24.397352	3775
4780.845672	-23.699785	3776
4781.898008	-21.506906	3777
4782.942692	-19.620212	3778
4783.964817	-16.169899	3779
4785.018107	-17.402496	3780
4786.056014	-18.037858	3781
4787.066200	-16.343354	3782
4788.136232	-13.059968	3783
4789.193688	-12.653606	3784
4790.214630	-12.185895	3785
4791.285108	-12.156432	3786
4792.310846	-9.358764	3787
4793.332209	-9.561269	3788
4794.365915	-9.829826	3789
4795.481762	-10.611793	3790
4796.488953	-7.165198	3791
4797.546461	-7.546141	3792
4798.577787	-8.279832	3793
4799.621870	-6.074435	3794
4800.659063	-6.072256	3795
4801.696612	-5.946889	3796
4802.749714	-4.709527	3797
4803.783071	-3.758625	3798
4804.855207	-3.696759	3799
4805.878017	-3.411239	3800
