time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5897.195055	258.656158	1.173953	-0.063850	59
5899.282523	259.004578	1.133535	-0.063131	61
5901.370513	258.535492	1.225236	-0.100000	63
5903.458823	259.608337	1.048030	-0.100000	65
5905.548416	79.439903	-1.013823	0.061870	67
5907.634941	79.496918	-0.976257	0.061554	69
5909.721573	78.912956	-0.931371	0.100000	71
5911.806158	79.272705	-0.900281	0.060430	73
5913.890689	78.996841	-0.740752	0.100000	75
5915.976221	78.317772	-0.783647	0.100000	77
5918.058400	78.981163	-0.797712	0.057527	79
5920.140307	79.061836	-0.763990	0.056501	81
5922.220110	79.031288	-0.728585	0.055541	83
5924.302618	78.889397	-0.694404	0.054557	85
5926.387141	78.744530	-0.664123	0.053066	87
5928.476658	78.815826	-0.636538	0.051428	89
5930.571449	78.899063	-0.609560	0.050132	91
5932.663025	78.871452	-0.582387	0.048312	93
5934.753124	78.572960	-0.557983	0.046962	95
5936.837863	78.320831	-0.537761	0.045170	97
5938.913216	78.429764	-0.516831	0.043552	99
5940.994217	78.536446	-0.492461	0.042453	101
5943.073285	78.475647	-0.469041	0.041565	103
5945.153184	78.286377	-0.445521	0.040600	105
5947.239011	77.999298	-0.423668	0.039086	107
5949.317698	77.832268	-0.405020	0.037911	109
5951.401926	77.637856	-0.386852	0.036396	111
5953.485721	77.551552	-0.369222	0.034993	113
5955.571472	77.387146	-0.352031	0.033806	115
5957.661150	77.317368	-0.336841	0.032283	117
