time (s)	magX	magY	magZ
7959.899466	26.774403	167.825821	35.267097
7959.902800	27.241966	167.650497	35.442429
7959.906137	27.943310	167.708939	35.793098
7959.909481	27.651083	167.884277	36.319115
7959.912800	28.410872	168.234940	35.676208
7959.916141	28.293982	168.351837	36.085335
7959.919898	28.703098	168.527176	36.669785
7959.923223	28.995325	168.527176	36.319115
7959.926557	29.229107	168.585617	36.552895
7959.929888	29.229107	168.702499	36.786674
7959.933239	30.047342	169.170059	36.845116
7959.936579	30.339569	169.520737	37.078896
7959.939918	30.339569	169.929855	37.020454
7959.943245	30.573351	170.397415	37.955589
7959.946560	30.105787	170.163635	38.306252
7959.949887	30.690243	170.631195	37.663353
7959.953668	30.982468	170.864990	38.189369
7959.956978	31.683813	171.449448	38.423149
7959.960331	31.450031	171.683228	38.481590
7959.963672	31.333141	172.384567	39.182930
7959.967060	31.742258	172.910583	39.650497
7959.970418	31.683813	173.144363	39.708946
7959.973663	31.859148	172.852127	40.118057
7959.976989	32.618938	174.196365	40.293404
7959.980306	32.502045	174.897720	41.170082
7959.983703	32.268265	175.540604	41.345413
7959.986999	32.326714	176.709518	41.754524
7959.990391	32.677383	177.060196	42.689651
7959.994163	32.735828	178.287552	43.098778
7959.997152	33.320282	179.339554	43.098778
7960.000740	33.554062	179.982452	44.209236
7960.004093	33.846291	180.450012	44.735245
7960.007475	34.430744	181.618942	44.384567
7960.010832	35.132088	182.729401	46.079491
7960.014189	34.547634	184.365860	47.423729
7960.017531	35.424316	185.476318	48.183517
7960.020849	35.541206	186.879013	49.235542
7960.024136	35.950325	187.755692	49.703102
7960.027527	36.768559	189.801285	50.813560
7960.030907	36.768559	190.853287	52.800697
7960.034229	37.119232	192.372879	53.560493
7960.037970	37.294567	193.658676	55.722969
7960.041290	38.405029	195.412033	57.184105
7960.044640	39.047928	196.873169	57.768555
7960.047892	39.515491	199.678543	59.872589
7960.051199	40.275280	201.081238	60.924606
7960.054525	40.801289	202.542374	62.736412
7960.057895	41.327293	204.003494	63.729980
7960.061699	42.613094	205.873749	65.424904
7960.065024	43.080658	207.977783	67.061378
7960.068344	44.249565	209.789597	67.704262
7960.071740	44.308006	211.659851	69.165398
7960.075045	44.950905	213.646973	71.035652
7960.078407	45.535362	215.166565	72.613670
7960.081741	46.119816	217.329041	75.126839
7960.085077	46.821159	219.666840	77.406197
7960.088377	48.048512	221.595551	79.977791
7960.091695	48.574520	223.407349	81.789589
7960.095029	49.042084	226.212723	83.601402
7960.098788	49.509644	228.725891	85.530098
7960.102103	50.327881	230.888367	86.991234
7960.105468	51.087669	232.875504	88.861488
7960.108797	51.905903	235.447098	91.199303
7960.112100	52.022797	237.726486	93.537117
7960.115435	53.717712	240.005829	95.874916
7960.118736	54.243717	242.694321	98.621864
7960.122067	54.652836	245.324356	100.725899
7960.125412	54.886620	248.305084	103.589714
7960.128725	56.523087	250.292206	106.511986
7960.132546	57.516659	253.156052	109.492683
7960.136115	58.042667	256.370544	112.648750
7960.139448	59.328465	258.649902	115.804802
7960.142786	60.322037	260.929291	119.428398
7960.146122	61.257160	264.319122	123.461128
7960.149443	62.718296	267.650513	127.084755
7960.152775	63.536530	270.748108	131.935699
7960.156107	64.763885	273.436584	135.442444
7960.159455	65.582115	277.293976	139.475159
7960.162771	66.692581	280.508484	144.735229
7960.166111	68.329048	283.839844	149.001770
7960.169447	69.030396	287.405029	154.086487
7960.172779	71.017532	290.853302	158.762146
7960.176138	72.654007	294.301575	163.729980
7960.179444	73.881355	297.048492	169.808319
7960.182778	75.108711	301.139679	175.419067
7960.186109	76.628288	303.945038	180.270020
7960.189889	78.498543	307.393311	186.465240
7960.193201	80.076569	310.724731	192.660431
7960.196527	81.362366	314.698975	199.147858
7960.199891	83.875511	317.913483	204.933929
7960.203223	85.570427	321.361755	211.888947
7960.206571	86.973114	324.459381	218.551727
7960.209901	88.668030	328.024536	225.331390
7960.213199	90.070724	331.180573	232.637054
7960.216531	91.940971	334.804199	240.001160
7960.219900	93.577438	337.960266	247.657501
7960.223620	95.447693	341.116302	254.320282
7960.226972	96.850388	344.155457	262.911743
7960.230307	98.311516	347.253082	270.451202
7960.233721	100.357101	350.818237	278.984222
7960.237049	101.818237	353.331390	286.348328
7960.240333	103.045593	356.136749	295.582672
7960.243636	105.500290	359.117462	304.933929
7960.246942	107.078323	361.922852	313.992981
7960.250307	108.714790	364.377563	323.227356
7960.253630	110.234367	366.656921	333.221497
7960.257082	111.987732	369.228516	342.864990
7960.260361	113.448868	371.098755	353.502014
7960.263728	115.611343	372.852112	364.022186
7960.267376	117.540039	375.073059	375.419037
7960.270732	119.059616	376.767975	386.289856
7960.274111	120.228516	378.170654	398.797180
7960.277484	122.040329	379.573364	409.258911
7960.280862	124.319702	380.333130	423.168884
7960.284146	126.482178	380.625366	436.319092
7960.287497	127.651077	381.034485	449.469299
7960.290820	129.579788	380.742249	463.554626
7960.294180	131.450027	380.742249	476.997070
7960.297508	133.437180	379.748688	490.907104
7960.301247	134.956757	379.047333	504.933960
7960.304601	136.885452	376.767975	520.129761
7960.307885	139.398605	374.839264	533.747498
7960.311227	141.444183	371.449432	548.358826
7960.314561	143.197556	368.877838	564.139099
7960.317905	145.360016	365.312683	579.276428
7960.321215	146.704269	361.455292	593.829346
7960.324529	149.100525	356.428986	610.018738
7960.328288	150.737000	351.519562	625.272949
7960.331616	152.022797	345.967285	640.410278
7960.334890	153.776154	340.356506	656.132080
7960.338183	155.003510	333.459961	670.275879
7960.341536	156.230865	325.920532	684.770264
7960.344889	157.808884	318.322632	701.310364
7960.348220	158.860901	310.490936	716.564575
7960.351535	159.737579	301.490356	731.468140
7960.354870	160.789597	292.255981	747.072998
7960.358621	161.140274	283.138519	760.457092
7960.361873	161.724716	273.085907	776.120422
7960.365228	161.315613	262.565735	790.147217
7960.368582	161.549393	251.694901	803.589661
7960.371877	161.607834	240.414963	817.090515
7960.375195	161.198715	228.784332	830.416138
7960.378540	160.555817	216.160141	844.092285
7960.381832	159.620697	203.594376	856.248962
7960.385279	158.451782	189.976624	868.697876
7960.388573	157.516663	175.657501	880.094666
7960.392292	155.704849	161.689056	892.251343
7960.395604	154.243713	146.843948	903.297485
7960.398903	152.841034	131.648163	914.752808
7960.402255	150.795441	116.101700	924.630005
7960.405598	148.866745	99.970779	933.046204
7960.408893	146.587372	83.956749	942.806580
7960.412627	144.658676	67.124489	949.060181
7960.416090	141.911743	50.350670	957.593201
7960.419420	139.690826	32.933956	963.320862
7960.422750	136.768555	14.582115	967.762756
7960.426104	134.547638	-3.652836	972.204529
7960.429420	131.742264	-20.777323	976.120422
7960.432751	128.177094	-38.252480	979.042664
7960.436087	125.547058	-55.902977	980.328552
7960.439413	122.098770	-73.495033	981.555725
7960.442747	119.176506	-91.145523	980.094666
7960.446082	115.728226	-108.854469	979.568665
7960.449412	112.689072	-126.037407	977.172424
7960.452750	109.357681	-142.635880	974.074768
7960.456080	105.850967	-159.292816	968.873108
7960.459418	102.578026	-175.832855	963.145447
7960.463217	99.188202	-191.203964	956.891846
7960.466504	95.856812	-205.932205	950.053711
7960.469856	92.350090	-220.543549	941.520752
7960.473170	88.317360	-233.576859	933.455322
7960.476501	83.933960	-247.253082	923.928650
7960.479828	81.011688	-259.585052	913.817627
7960.483167	76.978958	-272.267700	903.063721
7960.486496	73.530685	-284.190521	891.316162
7960.489857	69.381065	-294.886047	878.224426
7960.493198	65.231445	-305.815308	866.944458
7960.496526	61.900059	-315.517242	854.378723
7960.500263	57.341324	-324.693176	840.527161
7960.503589	53.600819	-333.810638	827.201599
7960.506957	48.983639	-342.051422	813.876099
7960.510283	45.067799	-349.824646	799.498474
7960.513619	41.677967	-356.312103	785.471680
7960.517020	37.762131	-362.448883	770.100525
7960.520350	34.255409	-368.527191	754.028076
7960.523661	30.164232	-374.079468	739.767395
7960.526924	27.241966	-379.573364	723.928650
7960.530267	23.735245	-383.606079	708.440674
7960.534088	20.053188	-387.989471	693.595520
7960.537458	17.014030	-391.028625	677.055542
7960.540408	13.857979	-395.353607	661.801270
7960.544084	10.760376	-397.048523	645.670349
7960.547390	7.604328	-398.977234	630.240784
7960.550743	5.324959	-401.665680	613.642273
7960.554116	2.928699	-402.951508	598.154297
7960.557430	0.064873	-404.061981	582.081848
7960.560772	-2.272942	-404.821777	567.119812
7960.564124	-4.844536	-404.997101	552.216248
7960.567466	-7.182346	-404.763306	535.091797
7960.570762	-8.935711	-404.529510	519.954407
7960.574144	-11.156628	-403.419067	504.291016
7960.577915	-12.208645	-403.243713	490.497986
7960.581253	-13.319111	-401.431946	475.886597
7960.584611	-15.247807	-399.386353	461.333740
7960.587942	-15.890705	-398.042114	446.079468
7960.591263	-17.410282	-395.353607	432.111053
7960.594570	-19.397427	-393.541809	418.785522
7960.597860	-19.514317	-390.970184	405.109283
7960.601177	-21.150784	-388.690857	392.251282
7960.604497	-22.027470	-385.417877	379.685577
7960.608321	-22.611919	-382.437164	367.119812
7960.611635	-23.897717	-379.105804	356.073639
7960.614945	-24.423725	-376.183533	344.793701
7960.618236	-24.540615	-373.085907	334.156616
7960.621571	-25.651081	-369.286987	323.227356
7960.624870	-26.293972	-365.371124	313.408539
7960.628244	-27.170658	-362.974884	303.589722
7960.631563	-27.579777	-359.351257	294.121552
7960.634885	-28.398014	-354.792511	285.588531
7960.638197	-29.099354	-351.519592	276.938629
7960.641573	-29.508472	-348.012878	268.288727
7960.645365	-29.450031	-344.272369	259.697266
7960.648688	-30.326710	-341.116302	250.872009
7960.652012	-31.261829	-336.206909	244.033905
7960.655301	-31.670956	-333.343079	237.020447
7960.658631	-32.080067	-330.128601	230.357666
7960.661890	-32.430737	-326.271179	222.759796
7960.665237	-32.722965	-322.121552	215.980103
